Time (s) Run #1,Force (N) Run #1,Time (s) Run #2,Force (N) Run #2,Time (s) Run #3,Force (N) Run #3,Time (s) Run #4,Force (N) Run #4,Time (s) Run #5,Force (N) Run #5,Time (s) Run #6,Force (N) Run #6
0,0,0,1,0,0,0,0,0,0,0,0
0.1,0,0.1,1,0.1,1,0.1,0,0.1,0,0.1,0
0.2,0,0.2,1,0.2,1,0.2,0,0.2,0,0.2,0
0.3,0,0.3,1,0.3,1,0.3,0,0.3,0,0.3,0
0.4,1,0.4,0,0.4,1,0.4,0,0.4,0,0.4,0
0.5,1,0.5,1,0.5,2,0.5,0,0.5,0,0.5,0
0.6,1,0.6,2,0.6,1,0.6,0,0.6,0,0.6,0
0.7,1,0.7,2,0.7,1,0.7,0,0.7,0,0.7,0
0.8,1,0.8,1,0.8,1,0.8,0,0.8,0,0.8,0
0.9,1,0.9,1,0.9,1,0.9,0,0.9,0,0.9,0
1,1,1,1,1,1,1,1,1,1,1,3
1.1,1,1.1,1,1.1,1,1.1,4,1.1,8,1.1,8
1.2,1,1.2,1,1.2,1,1.2,3,1.2,9,1.2,9
1.3,2,1.3,1,1.3,1,1.3,3,1.3,9,1.3,9
1.4,1,1.4,1,1.4,1,1.4,3,1.4,9,1.4,8
1.5,2,1.5,2,1.5,1,1.5,2,1.5,9,1.5,8
1.6,1,1.6,1,1.6,1,1.6,2,1.6,9,1.6,8
1.7,0,1.7,1,1.7,1,1.7,1,1.7,8,1.7,8
1.8,1,1.8,1,1.8,1,1.8,1,1.8,8,1.8,8
1.9,1,1.9,1,1.9,1,1.9,1,1.9,8,1.9,8
2,2,2,1,2,1,2,0,2,9,2,8
2.1,1,2.1,1,2.1,1,2.1,0,2.1,8,2.1,8
2.2,1,2.2,1,2.2,1,2.2,0,2.2,8,2.2,8
2.3,1,2.3,1,2.3,1,2.3,0,2.3,8,2.3,8
2.4,1,2.4,2,2.4,1,2.4,0,2.4,8,2.4,8
2.5,1,2.5,1,2.5,1,2.5,1,2.5,8,2.5,8
2.6,1,2.6,1,2.6,1,2.6,3,2.6,8,2.6,8
2.7,1,2.7,1,2.7,1,2.7,3,2.7,8,2.7,8
2.8,1,2.8,2,2.8,1,2.8,4,2.8,8,2.8,8
2.9,1,2.9,2,2.9,1,2.9,3,2.9,8,2.9,8
3,1,3,2,3,1,3,2,3,8,3,8
3.1,1,3.1,1,3.1,1,3.1,2,3.1,8,3.1,8
3.2,1,3.2,2,3.2,1,3.2,2,3.2,8,3.2,7
3.3,1,3.3,1,3.3,1,3.3,2,3.3,8,3.3,7
3.4,1,3.4,2,3.4,1,3.4,1,3.4,8,3.4,8
3.5,1,3.5,1,3.5,1,3.5,1,3.5,8,3.5,7
3.6,1,3.6,1,3.6,1,3.6,1,3.6,8,3.6,7
3.7,1,3.7,2,3.7,1,3.7,1,3.7,8,3.7,7
3.8,1,3.8,1,3.8,1,3.8,0,3.8,8,3.8,7
3.9,1,3.9,2,3.9,1,3.9,0,3.9,8,3.9,7
4,1,4,1,4,1,4,0,4,7,4,7
4.1,1,4.1,2,4.1,1,4.1,0,4.1,8,4.1,7
4.2,1,4.2,1,4.2,1,4.2,1,4.2,8,4.2,7
4.3,1,4.3,2,4.3,1,4.3,4,4.3,8,4.3,7
4.4,1,4.4,1,4.4,1,4.4,3,4.4,8,4.4,7
4.5,1,4.5,1,4.5,1,4.5,2,4.5,7,4.5,7
4.6,1,4.6,2,4.6,1,4.6,2,4.6,7,4.6,8
4.7,1,4.7,1,4.7,1,4.7,2,4.7,8,4.7,7
4.8,1,4.8,1,4.8,1,4.8,1,4.8,7,4.8,8
4.9,1,4.9,1,4.9,1,4.9,2,4.9,8,4.9,8
5,1,5,1,5,1,5,1,5,8,5,7
5.1,1,5.1,1,5.1,1,5.1,1,5.1,7,5.1,7
5.2,1,5.2,1,5.2,1,5.2,1,5.2,7,5.2,7
5.3,1,5.3,1,5.3,1,5.3,0,5.3,7,5.3,7
5.4,1,5.4,1,5.4,1,5.4,0,5.4,7,5.4,7
